,Count,Word
56,36,super
58,35,dzie
61,34,chyba
65,29,video
81,24,wiem
85,23,natu
87,20,miami
88,20,masz
89,19,zaraz
91,19,potem
93,19,jutro
95,18,zrobi
100,17,marysia
101,17,dobra
104,16,sierpnia
105,16,robi
108,16,nata
110,16,jeste
111,16,hehe
114,15,dobre
115,14,wygl
120,14,pozdrowionka
122,14,lepiej
124,14,dzwoni
126,13,troch
128,13,razie
129,13,pewnie
131,13,jedziemy
134,13,dziesz
139,12,pracy
142,12,motocykl
143,12,moto
146,12,fajnie
148,12,dopiero
158,11,haha
161,11,dobry
164,11,adnie
167,10,wczoraj
168,10,wcze
176,10,kupi
180,10,czekamy
183,9,ycie
186,9,smacznego
187,9,razem
188,9,prostu
189,9,pewno
190,9,najpierw
196,8,weso
197,8,weekend
198,8,tato
199,8,szybciej
202,8,prze
203,8,prawda
204,8,pami
205,8,oneczka
207,8,naprawd
208,8,napisa
212,8,jaka
214,8,dziemy
215,8,dziekuje
216,8,drodze
217,8,domu
218,8,denver
220,8,chodzi
221,8,chcia
222,8,cena
226,7,sumie
232,7,rodzice
234,7,rano
235,7,polska
237,7,piwo
238,7,okej
240,7,natek
241,7,musze
242,7,marysi
243,7,mamy
244,7,macie
246,7,jecha
248,7,gada
249,7,fajny
250,7,fajna
251,7,facebook
252,7,drugie
254,7,czwartek
256,7,chce
259,7,brzmi
261,6,zadzwonie
262,6,winyle
263,6,wifi
264,6,wieczorem
265,6,widok
266,6,wiata
268,6,tyle
270,6,termin
271,6,powiedzia
272,6,pomys
273,6,piwko
274,6,pisze
275,6,pierwszy
278,6,ojciec
280,6,najlepiej
281,6,musisz
283,6,mega
284,6,maja
285,6,lubi
287,6,lata
288,6,kogo
289,6,kocham
290,6,kiem
292,6,jakies
294,6,drog
295,6,dieta
296,6,czym
297,6,czas
300,6,bilety
301,6,bierz
303,6,aaaa
304,5,zobaczymy
305,5,znale
306,5,znalaz
307,5,zetka
308,5,zasadzie
310,5,zamiast
311,5,zadzwo
312,5,zacz
313,5,zabra
314,5,wype
315,5,wyjazd
316,5,wycieczk
320,5,widzimy
321,5,wawa
322,5,warto
323,5,warszawo
324,5,wakacje
326,5,tydzie
327,5,terminy
328,5,szcz
329,5,swoj
330,5,sprawdzi
332,5,spotkanie
333,5,spadochronem
335,5,sobot
336,5,sfnsn
337,5,rzeczy
338,5,rodku
339,5,prac
341,5,powiedzieli
342,5,powa
343,5,posz
344,5,pomy
345,5,polsce
346,5,podoba
347,5,pisz
352,5,odzi
353,5,obiad
354,5,nowy
355,5,normalnie
359,5,niesamowite
360,5,niejsze
362,5,nied
363,5,niadanie
364,5,nazywa
365,5,najwa
366,5,najlepsze
367,5,myszko
368,5,motur
371,5,miesi
372,5,miejsce
373,5,mary
374,5,ludzi
375,5,lublina
376,5,lotnisko
378,5,list
379,5,lipca
381,5,kosztuje
385,5,idziemy
387,5,hyhy
388,5,hahaha
390,5,godziny
391,5,ecie
392,5,dziecie
395,5,czekam
396,5,ciesz
397,5,chwil
400,5,basen
401,5,adne
403,4,zrobimy
404,4,zostawi
405,4,zosta
406,4,zmieni
407,4,zlecon
409,4,ziemi
410,4,zale
412,4,wyglada
413,4,wydaje
416,4,witaj
417,4,wiesz
419,4,warszawy
420,4,walcz
421,4,uczelnie
422,4,trzyma
425,4,szuka
426,4,szkoda
428,4,skie
429,4,skaka
430,4,siebie
431,4,sernik
432,4,samolotu
433,4,samo
434,4,ruda
435,4,rodzina
436,4,revolut
437,4,restauracji
438,4,razy
439,4,razu
441,4,przecie
442,4,pracuje
443,4,praca
444,4,posts
445,4,pogoda
446,4,podr
448,4,pierwszej
449,4,pier
450,4,paszport
452,4,pada
455,4,oferta
456,4,odloty
459,4,nowa
460,4,nooo
461,4,nocy
463,4,nica
466,4,nauki
467,4,nauka
468,4,natalka
469,4,nast
471,4,nale
472,4,musimy
473,4,motocrossie
474,4,mniej
475,4,mistrzostwo
476,4,miasto
477,4,marzenia
478,4,mama
479,4,loty
480,4,liczny
481,4,lewa
482,4,lecimy
483,4,lato
486,4,krakowa
487,4,koniecznie
488,4,kolejna
490,4,jedzenie
493,4,jakiego
495,4,hahah
496,4,gotowa
497,4,gicio
499,4,fajne
501,4,ekstra
502,4,ehhh
503,4,egzamin
504,4,egen
505,4,dzisz
506,4,drugiej
507,4,dosta
508,4,domku
510,4,dnia
511,4,deczka
512,4,dawaj
515,4,czasu
516,4,chwile
517,4,chcesz
519,4,buje
520,4,brat
521,4,bowa
524,4,baga
526,4,auta
528,4,ameryka
529,4,akurat
532,3,zgadzam
533,3,zewn
534,3,zetke
535,3,zastanwiam
536,3,zapytam
537,3,zapomnij
538,3,zapomnia
539,3,zami
540,3,zadzwoni
541,3,zabawa
543,3,yciu
544,3,wysz
545,3,wysoko
549,3,wsiadam
550,3,wracam
551,3,wolno
552,3,woda
554,3,wietnie
555,3,wiecie
556,3,widzieli
557,3,widzia
558,3,widz
559,3,wiadomo
560,3,wawy
561,3,wawie
562,3,warszawie
563,3,walizk
564,3,wali
565,3,uwielbiam
569,3,ugie
570,3,uczucie
571,3,uchwyt
572,3,tygodnie
575,3,trzy
579,3,tequila
580,3,tata
581,3,targ
582,3,takiej
583,3,takiego
584,3,takich
585,3,szybko
586,3,szczeg
587,3,synku
588,3,syneczku
589,3,stwierdzi
590,3,studia
591,3,stringi
592,3,storczyk
593,3,stopie
594,3,stoi
596,3,sprawdz
597,3,spraw
598,3,spos
599,3,spokojnie
600,3,spoczko
601,3,spacer
603,3,smakuje
604,3,skoczy
605,3,siedzimy
606,3,siadam
607,3,samochodzik
608,3,sami
609,3,same
610,3,salon
612,3,rzecz
615,3,rozumiem
616,3,rower
617,3,rodzinko
618,3,restauracja
619,3,rejestrowa
622,3,rana
623,3,ragnar
624,3,raczej
625,3,racj
626,3,rach
627,3,pyta
628,3,przeka
630,3,prezesa
631,3,prawko
633,3,prawa
634,3,pracowa
636,3,powietrzu
637,3,powiedzie
638,3,poprosz
640,3,pokoju
641,3,pojechali
642,3,poczyta
643,3,pnie
644,3,piwie
645,3,pisa
647,3,pierwsze
648,3,pierwsza
649,3,pieprz
650,3,pieni
651,3,papier
652,3,panie
654,3,owanie
655,3,ostro
656,3,osoba
657,3,opak
659,3,oneczko
662,3,olsztynie
663,3,okazji
664,3,ojca
665,3,ognisko
667,3,ogarnia
668,3,odnik
669,3,odebra
670,3,odbioru
672,3,nikt
673,3,niestety
674,3,nieee
675,3,nieco
676,3,niebezpieczny
677,3,niam
678,3,niadanko
679,3,niadaniowy
682,3,nauczy
683,3,nadziej
685,3,muzyka
686,3,musz
687,3,musieli
688,3,musia
689,3,motor
690,3,motocyklu
691,3,motocyklem
692,3,mocno
693,3,mamo
695,3,lotnisku
696,3,lokalizacyjna
698,3,lecie
700,3,kurcze
701,3,kupili
702,3,kuchni
703,3,ksza
705,3,koncert
706,3,kochana
707,3,klimatyzator
708,3,klasy
709,3,kawa
711,3,kart
714,3,jade
716,3,inaczej
717,3,imprezie
718,3,imieniny
719,3,html
723,3,hahahaha
724,3,grejt
727,3,foto
728,3,faceci
729,3,ewentualnie
733,3,dzwo
734,3,dzieje
735,3,dzieci
737,3,drugi
738,3,druga
739,3,drala
741,3,dobrego
742,3,dobranocka
746,3,deser
747,3,dawno
748,3,darmo
749,3,dali
750,3,daje
751,3,czuje
752,3,czeka
753,3,czad
754,3,cytryna
756,3,codziennie
757,3,cionek
758,3,ciach
762,3,bezpiecznie
763,3,bawi
764,3,baaardzo
766,3,anita
768,3,allegro
769,3,adnych
770,3,adny
771,3,adnego
772,3,adam
775,3,abym
778,2,zupy
779,2,zupka
780,2,zupa
781,2,zrozumia
783,2,zostan
784,2,znam
785,2,znajomi
786,2,znaczy
787,2,zmienia
788,2,zmie
789,2,zmarznij
790,2,zjesz
791,2,zjad
792,2,zimn
793,2,zgadnie
795,2,zewnatrz
796,2,zetce
797,2,zeszyty
798,2,zeszyt
799,2,zechcesz
800,2,zdrowy
801,2,zdecydowanie
802,2,zdawa
804,2,zbawiciela
805,2,zastanawiam
806,2,zapasy
808,2,zadanie
809,2,zabierz
810,2,zabawy
811,2,ywaj
813,2,ysza
814,2,yrafy
817,2,yczymy
818,2,ycia
820,2,wystarczy
821,2,wyrabiasz
822,2,wyprawk
823,2,wypo
824,2,wypad
825,2,wyobra
826,2,wyje
827,2,wygra
828,2,wyda
829,2,wycieczek
830,2,wychodzimy
831,2,wybierz
833,2,wtorek
834,2,wszystkiego
836,2,wsch
837,2,wrze
838,2,wrap
839,2,wraca
841,2,wpisa
843,2,wolnych
844,2,wolne
845,2,wodzie
846,2,wody
847,2,wodny
848,2,wodne
852,2,wizyty
853,2,wizyta
854,2,wino
855,2,wietne
856,2,wiedzie
857,2,wiedzia
858,2,widoki
859,2,widoczki
860,2,wideo
861,2,whisky
862,2,wezm
863,2,weczk
865,2,wariaty
867,2,vide
869,2,uwaga
870,2,usznie
872,2,urodziny
873,2,urocze
874,2,urawina
877,2,ulala
879,2,udniu
880,2,udany
881,2,uczysz
882,2,uczy
883,2,uczelni
884,2,uchwytu
885,2,uchajcie
886,2,twarzy
887,2,tripa
888,2,trasy
889,2,trac
895,2,tesknie
896,2,telefonu
897,2,telefon
899,2,tasz
900,2,tanio
901,2,takim
902,2,szybsze
903,2,szybkie
904,2,szybki
905,2,szpinakiem
906,2,szlak
907,2,szko
908,2,szeroko
910,2,system
911,2,sygna
912,2,swoim
913,2,swing
914,2,swietnie
916,2,suzuki
917,2,surowy
918,2,stwo
919,2,stwierdzili
920,2,strony
921,2,stronie
922,2,stron
923,2,strasznie
924,2,stout
925,2,story
926,2,stoj
928,2,stekownia
929,2,stawia
930,2,stara
931,2,stanie
932,2,sprz
933,2,sprawdzam
934,2,sprawdzaj
935,2,sprawdza
936,2,spoko
937,2,spok
938,2,spod
939,2,spadochron
942,2,skoro
943,2,sklepu
944,2,skiego
946,2,sierpniu
947,2,sierpie
948,2,sezon
949,2,sensie
950,2,scontent
951,2,samopoczucie
952,2,samolocie
953,2,samoch
954,2,rudej
955,2,rozumiesz
956,2,rozs
957,2,rozmawiali
960,2,rodziny
961,2,rewoluta
962,2,revoluta
964,2,renu
965,2,ratownik
966,2,raju
967,2,rady
969,2,pytanie
970,2,puree
971,2,punks
972,2,pude
973,2,pubu
975,2,przyznana
976,2,przysz
977,2,przystanku
978,2,przys
979,2,przypominam
980,2,przyloty
981,2,przyk
982,2,przyjemno
983,2,przyjedziemy
984,2,przyjazd
985,2,przyjad
986,2,przodu
987,2,przeszkadza
988,2,przesy
989,2,przes
990,2,przejecha
991,2,przeja
992,2,przedsi
993,2,prosta
994,2,prost
995,2,propozycj
996,2,promka
997,2,programowania
998,2,procent
999,2,problemu
